TIME_ID,Y,TIME
2018/12/5 14:06 PKXR66.0D_19,0.190259,2018/12/5 14:06
2018/12/5 14:21 PKXR89.00_11,0.152207,2018/12/5 14:21
2018/12/5 14:34 PKXR66.0D_18,0.228311,2018/12/5 14:34
2018/12/5 14:50 PKXA92.08_21,0.152207,2018/12/5 14:50
2018/12/5 15:00 PKXR71.00_03,0.570776,2018/12/5 15:00
2018/12/5 15:10 PKXR66.0D_16,0.152207,2018/12/5 15:10
2018/12/5 15:15 PFVA87.0P_14,0.304414,2018/12/5 15:15
2018/12/5 15:37 PKXR66.0D_15,0.228311,2018/12/5 15:37
2018/12/5 16:01 PKXR66.0D_14,0.228311,2018/12/5 16:01
2018/12/5 16:02 PKXR71.06_21,0.266362,2018/12/5 16:02
2018/12/5 16:23 PKWT64.0A_21,0.342466,2018/12/5 16:23
2018/12/5 17:00 PKXR89.00_10,0.228311,2018/12/5 17:00
2018/12/5 17:15 PKXA92.08_20,0.114155,2018/12/5 17:15
2018/12/5 17:16 PKXA92.08_24,0.532725,2018/12/5 17:16
2018/12/5 17:48 PKXA92.08_23,0.342466,2018/12/5 17:48
2018/12/5 17:56 PKXR71.00_02,0.64688,2018/12/5 17:56
2018/12/5 19:04 PKWT64.0A_20,0.228311,2018/12/5 19:04
2018/12/5 19:27 PKXR71.06_20,0.266362,2018/12/5 19:27
2018/12/5 19:36 PKXR89.00_09,0.342466,2018/12/5 19:36
2018/12/5 19:44 PKXA92.08_19,0.190259,2018/12/5 19:44
2018/12/5 20:35 PKXR78.00_17,0.684932,2018/12/5 20:35
2018/12/5 20:40 PKXR71.00_01,0.761035,2018/12/5 20:40
2018/12/5 21:40 PKWT64.0A_19,0.266362,2018/12/5 21:40
2018/12/5 22:03 PKXR71.06_19,0.304414,2018/12/5 22:03
2018/12/5 22:08 PM2G21.00_19,0.456621,2018/12/5 22:08
2018/12/5 22:11 PKXR89.00_08,0.342466,2018/12/5 22:11
2018/12/5 22:15 PKXA92.08_18,0.494673,2018/12/5 22:15
2018/12/5 22:26 PM0T46.05_22,0.114155,2018/12/5 22:26
2018/12/5 22:43 PM0T46.05_21,0.190259,2018/12/5 22:43
2018/12/5 22:55 PM2G21.00_18,0.418569,2018/12/5 22:55
2018/12/5 23:01 PM0T46.05_20,0.266362,2018/12/5 23:01
2018/12/5 23:12 PKXR78.00_14,0.684932,2018/12/5 23:12
2018/12/5 23:21 PM0T46.05_19,0.076104,2018/12/5 23:21
2018/12/5 23:35 PM2G21.00_17,0.304414,2018/12/5 23:35
2018/12/5 23:37 PKWT60.00_10,0.989346,2018/12/5 23:37
2018/12/5 23:42 PM0T46.05_18,0.266362,2018/12/5 23:42
2018/12/5 23:54 PKXS03.00_07,0.380518,2018/12/5 23:54
2018/12/6 00:03 PM2G21.00_16,0.190259,2018/12/6 00:03
2018/12/6 00:09 PM0T46.05_17,0.076104,2018/12/6 00:09
2018/12/6 00:15 PKWT64.0A_18,0.266362,2018/12/6 00:15
2018/12/6 00:24 PM2G21.00_15,0.228311,2018/12/6 00:24
2018/12/6 00:27 PM0T46.05_16,0.266362,2018/12/6 00:27
2018/12/6 00:42 PKXR71.06_18,0.380518,2018/12/6 00:42
2018/12/6 00:45 PKXA92.08_17,0.494673,2018/12/6 00:45
2018/12/6 00:48 PM0T46.05_15,0.076104,2018/12/6 00:48
2018/12/6 00:49 PM2G21.00_14,0.190259,2018/12/6 00:49
2018/12/6 00:51 PKXR89.00_07,0.342466,2018/12/6 00:51
2018/12/6 01:09 PM0T46.05_14,0.266362,2018/12/6 01:09
2018/12/6 01:14 PM2G21.00_13,0.266362,2018/12/6 01:14
2018/12/6 01:35 PM0T46.05_13,0.152207,2018/12/6 01:35
2018/12/6 01:44 PM2G21.00_12,0.228311,2018/12/6 01:44
2018/12/6 01:48 PKXR78.00_13,0.761035,2018/12/6 01:48
2018/12/6 02:10 PKWT60.00_09,0.913242,2018/12/6 02:10
2018/12/6 02:13 PM2G21.00_11,0.076104,2018/12/6 02:13
2018/12/6 02:40 PKXS03.00_06,0.532725,2018/12/6 02:40
2018/12/6 02:42 PM2G21.00_10,0.380518,2018/12/6 02:42
2018/12/6 02:55 PKWT64.0A_17,0.152207,2018/12/6 02:55
2018/12/6 03:09 PM2G21.00_09,0.266362,2018/12/6 03:09
2018/12/6 03:17 PKXA92.08_16,0.494673,2018/12/6 03:17
2018/12/6 03:26 PKXR71.06_17,0.380518,2018/12/6 03:26
2018/12/6 03:29 PKXR89.00_06,0.266362,2018/12/6 03:29
2018/12/6 03:31 PM2G21.00_08__r1,0.342466,2018/12/6 03:31
2018/12/6 03:58 PM2G21.00_07__r1,0.228311,2018/12/6 03:58
2018/12/6 04:17 PKXR78.00_10,0.570776,2018/12/6 04:17
2018/12/6 04:18 PKXR71.00_25,0.304414,2018/12/6 04:18
2018/12/6 05:22 PKXS03.00_05,0.266362,2018/12/6 05:22
2018/12/6 05:28 PKWT64.0A_16,0.190259,2018/12/6 05:28
2018/12/6 05:47 PKXA92.08_15,0.684932,2018/12/6 05:47
2018/12/6 06:09 PKXR71.06_16,0.456621,2018/12/6 06:09
2018/12/6 06:37 PKXR89.00_05,0.304414,2018/12/6 06:37
2018/12/6 06:51 PKXR71.00_12,0.228311,2018/12/6 06:51
2018/12/6 07:10 PKXR78.00_09,0.608828,2018/12/6 07:10
2018/12/6 07:55 PKXS03.00_04,0.761035,2018/12/6 07:55
2018/12/6 08:09 PKWT64.0A_15,0.266362,2018/12/6 08:09
2018/12/6 08:42 PKXR77.00_25,0.228311,2018/12/6 08:42
2018/12/6 08:56 PKXR71.06_15,0.304414,2018/12/6 08:56
2018/12/6 09:00 PKXR77.00_12,0.342466,2018/12/6 09:00
2018/12/6 09:13 PKXR89.00_04,0.304414,2018/12/6 09:13
2018/12/6 09:17 PKXR77.00_11,0.228311,2018/12/6 09:17
2018/12/6 09:31 PKXR77.00_10,0.228311,2018/12/6 09:31
2018/12/6 09:45 PKXR77.00_09,0.114155,2018/12/6 09:45
2018/12/6 09:57 PKXR77.00_08,0.114155,2018/12/6 09:57
2018/12/6 10:15 PKXR77.00_07,0.114155,2018/12/6 10:15
2018/12/6 10:30 PKXR77.00_06,0.038052,2018/12/6 10:30
2018/12/6 10:35 PKXS03.00_03,0.380518,2018/12/6 10:35
2018/12/6 10:39 PKXR77.00_05__r1,0.114155,2018/12/6 10:39
2018/12/6 10:45 PKWT64.0A_14,0.304414,2018/12/6 10:45
2018/12/6 10:50 PKXR77.00_04__r1,0.152207,2018/12/6 10:50
2018/12/6 10:59 PKXA92.08_13,0.913242,2018/12/6 10:59
2018/12/6 11:03 PKXR77.00_03__r1,0.076104,2018/12/6 11:03
2018/12/6 11:13 PKXR77.00_02__r1,0.418569,2018/12/6 11:13
2018/12/6 11:32 PKXR71.06_14,0.380518,2018/12/6 11:32
2018/12/6 11:34 PKXR77.00_01__r1,0.190259,2018/12/6 11:34
2018/12/6 11:51 PKXR89.00_03,0.304414,2018/12/6 11:51
2018/12/6 12:15 PFPU11.00_13__r1,0.570776,2018/12/6 12:15
2018/12/6 12:17 PKXR78.00_05,0.722983,2018/12/6 12:17
2018/12/6 13:22 PKWT64.0A_13,0.380518,2018/12/6 13:22
2018/12/6 13:24 PFPU11.00_12__r1,0.190259,2018/12/6 13:24
2018/12/6 13:56 PM0T34.09_24,0.532725,2018/12/6 13:56
2018/12/6 14:10 PKXR71.06_13,0.304414,2018/12/6 14:10
2018/12/6 14:16 PFPU11.00_11__r1,0.190259,2018/12/6 14:16
2018/12/6 14:32 PKXR89.00_02,0.190259,2018/12/6 14:32
2018/12/6 14:58 PFPU11.00_10__r1,0.342466,2018/12/6 14:58
2018/12/6 15:46 PFPU11.00_02__r1,0.152207,2018/12/6 15:46
2018/12/6 16:28 PM0T34.09_23,0.380518,2018/12/6 16:28
2018/12/6 16:31 PKWT59.0D_24,0.456621,2018/12/6 16:31
2018/12/6 17:11 PKXR89.00_01,0.190259,2018/12/6 17:11
2018/12/6 17:26 PKXS03.0H_24,0.87519,2018/12/6 17:26
2018/12/6 18:04 PKXR57.06_23,0.304414,2018/12/6 18:04
2018/12/6 18:18 PKXS03.00_02,0.799087,2018/12/6 18:18
2018/12/6 18:29 PKXR57.06_22,0.228311,2018/12/6 18:29
2018/12/6 18:51 PKXR57.06_21,0.114155,2018/12/6 18:51
2018/12/6 18:56 PM0T34.09_22,0.570776,2018/12/6 18:56
2018/12/6 19:06 PKWT59.0D_23,0.684932,2018/12/6 19:06
2018/12/6 19:17 PKXR57.06_20,0.190259,2018/12/6 19:17
2018/12/6 20:04 PKXR57.06_19__r1,0.114155,2018/12/6 20:04
2018/12/6 20:06 PKXR78.00_02,0.418569,2018/12/6 20:06
2018/12/6 20:16 PKXS03.0H_23,0.304414,2018/12/6 20:16
2018/12/6 20:28 PKXR57.06_18__r1,0.114155,2018/12/6 20:28
2018/12/6 20:54 PKXR57.06_17__r1,0.228311,2018/12/6 20:54
2018/12/6 21:23 PKXR57.06_16__r1,0.152207,2018/12/6 21:23
2018/12/6 21:30 PM0T34.09_21,0.380518,2018/12/6 21:30
2018/12/6 21:37 PKWT59.0D_22,0.418569,2018/12/6 21:37
2018/12/6 21:39 PKXS03.00_01,0.761035,2018/12/6 21:39
2018/12/6 21:48 PKXR57.06_15__r1,0.190259,2018/12/6 21:48
2018/12/6 22:10 PKXR57.06_14__r1,0.076104,2018/12/6 22:10
2018/12/6 22:23 PKXR57.06_13__r1,0.342466,2018/12/6 22:23
2018/12/6 22:29 PKXR89.00_25,0.532725,2018/12/6 22:29
2018/12/6 22:50 PKXR78.00_01,0.951294,2018/12/6 22:50
2018/12/6 23:03 PKXS03.0H_22,0.380518,2018/12/6 23:03
2018/12/7 00:00 PM0T34.09_20,0.304414,2018/12/7 00:00
2018/12/7 00:12 PKWT59.0D_21,0.456621,2018/12/7 00:12
2018/12/7 01:04 PKWT60.00_01,0.951294,2018/12/7 01:04
2018/12/7 01:43 PKXS03.0H_21,0.456621,2018/12/7 01:43
2018/12/7 01:44 PKXR67.00_11,0.456621,2018/12/7 01:44
2018/12/7 02:02 PKXR83.00_13,0.304414,2018/12/7 02:02
2018/12/7 02:24 PKXA84.00_25,0.418569,2018/12/7 02:24
2018/12/7 02:28 PM0T34.09_19,0.456621,2018/12/7 02:28
2018/12/7 02:44 PKWT59.0D_20,0.304414,2018/12/7 02:44
2018/12/7 03:04 PKWT58.00_12__r1,0.190259,2018/12/7 03:04
2018/12/7 03:37 PKXR83.00_12,0.152207,2018/12/7 03:37
2018/12/7 04:06 PKXR81.00_11,0.570776,2018/12/7 04:06
2018/12/7 04:18 PKXR67.00_10,0.190259,2018/12/7 04:18
2018/12/7 04:19 PKXS03.0H_20,0.342466,2018/12/7 04:19
2018/12/7 04:22 PKXR83.00_11,0.342466,2018/12/7 04:22
2018/12/7 04:29 PKWT58.00_11__r1,0.152207,2018/12/7 04:29
2018/12/7 04:55 PM0T34.09_18,0.837139,2018/12/7 04:55
2018/12/7 05:03 PKXA84.00_12,0.684932,2018/12/7 05:03
2018/12/7 05:13 PKWT58.00_10__r1,0.228311,2018/12/7 05:13
2018/12/7 05:15 PKWT59.0D_19,0.380518,2018/12/7 05:15
2018/12/7 05:37 PKXR83.00_10,0.266362,2018/12/7 05:37
2018/12/7 06:05 PKWT58.00_09__r1,0.038052,2018/12/7 06:05
2018/12/7 06:25 PKWT58.00_08__r1,0.114155,2018/12/7 06:25
2018/12/7 06:27 PKWT25.00_09,0.989346,2018/12/7 06:27
2018/12/7 06:45 PKXR67.00_09,0.342466,2018/12/7 06:45
2018/12/7 06:52 PKXR83.00_08,0.190259,2018/12/7 06:52
2018/12/7 06:58 PKXR81.00_10,0.951294,2018/12/7 06:58
2018/12/7 06:59 PKXS03.0H_19,0.418569,2018/12/7 06:59
2018/12/7 07:36 PKXA84.00_11,0.266362,2018/12/7 07:36
2018/12/7 07:44 PKWT59.0D_18,0.456621,2018/12/7 07:44
2018/12/7 08:12 PKXR83.00_06,0.304414,2018/12/7 08:12
2018/12/7 09:12 PKXR67.00_08,0.228311,2018/12/7 09:12
2018/12/7 09:40 PKXR83.00_05,0.380518,2018/12/7 09:40
2018/12/7 10:05 PKXR81.00_09,0.456621,2018/12/7 10:05
2018/12/7 10:11 PKWT59.0D_17,0.304414,2018/12/7 10:11
2018/12/7 10:11 PKXA84.00_10,0.608828,2018/12/7 10:11
2018/12/7 10:18 PM0T34.09_14,0.837139,2018/12/7 10:18
