TIME_ID,Y,TIME
2018/11/22 04:00:13 AP1M635.00_15,0.117041,2018/11/22 04:00
2018/11/29 20:36:13 AP1Q521.00_13,0,2018/11/29 20:36
2018/11/30 00:05:57 AP1Q521.00_12,0,2018/11/30 00:05
2018/11/30 03:15:32 AP1Q521.00_11,0.023408,2018/11/30 03:15
2018/11/30 04:49:17 AS00972.00_13,0.070225,2018/11/30 04:49
2018/11/30 05:27:42 AS00972.00_25,0,2018/11/30 05:27
2018/11/30 06:31:34 AP1Q521.00_10,0,2018/11/30 06:31
2018/11/30 08:41:54 AS00972.00_24,0.093633,2018/11/30 08:41
2018/11/30 09:38:30 AP1Q521.00_09,0,2018/11/30 09:38
2018/11/30 11:56:31 AS00972.00_23,0,2018/11/30 11:56
2018/11/30 12:45:20 AP1Q521.00_08,0,2018/11/30 12:45
2018/11/30 13:48:13 AP1Q521.00_25,0.023408,2018/11/30 13:48
2018/11/30 15:07:01 AS00972.00_12,0.140449,2018/11/30 15:07
2018/11/30 15:58:05 AP1Q521.00_07,0.046816,2018/11/30 15:58
2018/11/30 17:09:48 AP1Q521.00_24,0,2018/11/30 17:09
2018/11/30 17:13:00 AS00972.00_22,0.023408,2018/11/30 17:13
2018/11/30 19:03:55 AP1Q521.00_06,0,2018/11/30 19:03
2018/11/30 19:21:36 AS00972.00_11,0.023408,2018/11/30 19:21
2018/11/30 20:16:48 AS00972.00_21,0.023408,2018/11/30 20:16
2018/11/30 20:20:13 AP1Q521.00_23,0.023408,2018/11/30 20:20
2018/11/30 22:13:23 AP1Q521.00_05,0.023408,2018/11/30 22:13
2018/11/30 23:23:57 AS00972.00_20,0.117041,2018/11/30 23:23
2018/11/30 23:25:58 AS00972.00_10,0.046816,2018/11/30 23:25
2018/11/30 23:30:19 AP1Q521.00_22,0,2018/11/30 23:30
2018/12/01 01:33:31 AP1Q521.00_04,0.023408,2018/12/1 01:33
2018/12/01 02:31:56 AS00972.00_19,0.023408,2018/12/1 02:31
2018/12/01 02:45:34 AP1Q521.00_21,0,2018/12/1 02:45
2018/12/01 03:46:33 AS00972.00_09,0.023408,2018/12/1 03:46
2018/12/01 04:34:17 AP1Q521.00_03,0,2018/12/1 04:34
2018/12/01 06:06:40 AS00972.00_18,0.070225,2018/12/1 06:06
2018/12/01 06:32:01 AP1Q521.00_20,0,2018/12/1 06:32
2018/12/01 07:36:13 AP1Q521.00_02,0,2018/12/1 07:36
2018/12/01 07:40:24 AS00972.00_08,0.117041,2018/12/1 07:40
2018/12/01 09:06:16 AP1N948.00_25,0,2018/12/1 09:06
2018/12/01 09:41:53 AP1Q521.00_19,0,2018/12/1 09:41
2018/12/01 10:11:47 AP1N948.00_13,0.070225,2018/12/1 10:11
2018/12/01 10:42:29 AP1Q521.00_01,0.023408,2018/12/1 10:42
2018/12/01 12:47:40 AP1Q521.00_18,0.023408,2018/12/1 12:47
2018/12/01 13:20:00 AP1N948.00_24,0.070225,2018/12/1 13:20
2018/12/01 13:33:59 AP1N948.00_12,0,2018/12/1 13:33
2018/12/01 15:58:03 AP1Q521.00_17,0.046816,2018/12/1 15:58
2018/12/01 16:45:30 AP1N948.00_11,0.046816,2018/12/1 16:45
2018/12/01 17:46:28 AP1N948.00_23,0.046816,2018/12/1 17:46
2018/12/01 19:22:09 AP1Q521.00_16,0.023408,2018/12/1 19:22
2018/12/01 20:22:49 AP1N948.00_10,0,2018/12/1 20:22
2018/12/01 21:49:57 AP1N948.00_22,0,2018/12/1 21:49
2018/12/01 22:34:55 AP1Q521.00_15,0.046816,2018/12/1 22:34
2018/12/01 23:30:13 AP1N948.00_09,0.070225,2018/12/1 23:30
2018/12/02 01:42:51 AP1Q521.00_14,0,2018/12/2 01:42
2018/12/02 02:06:10 AP1N948.00_21,0,2018/12/2 02:06
2018/12/02 02:34:15 AP1N948.00_08,0.093633,2018/12/2 02:34
2018/12/02 05:39:05 AP1N948.00_07,0.023408,2018/12/2 05:39
2018/12/02 06:27:20 AP1N948.00_20,0.163858,2018/12/2 06:27
2018/12/02 08:48:04 AP1N948.00_06,0.163858,2018/12/2 08:48
2018/12/02 10:13:41 AP1N948.00_19,0.023408,2018/12/2 10:13
2018/12/02 11:55:36 AP1N948.00_05,0.046816,2018/12/2 11:55
2018/12/02 14:18:48 AP1N948.00_18,0,2018/12/2 14:18
2018/12/02 15:10:02 AP1N948.00_04,0,2018/12/2 15:10
2018/12/02 18:18:48 AP1N948.00_03,0.117041,2018/12/2 18:18
2018/12/02 18:47:17 AP1N948.00_17,0.046816,2018/12/2 18:47
2018/12/02 21:22:05 AP1N948.00_01,0.140449,2018/12/2 21:22
2018/12/02 23:01:40 AP1N948.00_16,0,2018/12/2 23:01
2018/12/03 02:53:34 AP1N948.00_15,0.140449,2018/12/3 02:53
2018/12/03 07:07:37 AP1N948.00_14,0.046816,2018/12/3 07:07
2018/12/03 11:19:44 AS00972.00_17,0.070225,2018/12/3 11:19
2018/12/03 14:41:22 AS00972.00_16,0.046816,2018/12/3 14:41
2018/12/03 17:46:21 AS00972.00_15,0.070225,2018/12/3 17:46
2018/12/03 20:51:00 AS00972.00_14,0.187266,2018/12/3 20:51
2018/12/04 03:06:35 AS00972.00_07,0.023408,2018/12/4 03:06
2018/12/04 06:17:43 AS00972.00_06,0.140449,2018/12/4 06:17
2018/12/04 06:39:03 AP1Q530.00_25,0.140449,2018/12/4 06:39
2018/12/04 06:58:41 AP1Q530.00_12,0.187266,2018/12/4 06:58
2018/12/04 07:19:33 AP1Q511.00_14,0.093633,2018/12/4 07:19
2018/12/04 09:31:09 AS00972.00_05,0.210674,2018/12/4 09:31
2018/12/04 10:16:23 AP1Q530.00_11,0.187266,2018/12/4 10:16
2018/12/04 10:50:08 AP1Q530.00_24,0.070225,2018/12/4 10:50
2018/12/04 12:18:52 AP1Q511.00_13,0.163858,2018/12/4 12:18
2018/12/04 12:36:00 AS00972.00_04,0.046816,2018/12/4 12:36
2018/12/04 13:23:16 AP1Q530.00_10,0.140449,2018/12/4 13:23
2018/12/04 14:45:19 AP1Q530.00_23,0.046816,2018/12/4 14:45
2018/12/04 16:10:01 AS00972.00_03,0.187266,2018/12/4 16:10
2018/12/04 16:27:05 AP1Q530.00_09,0.210674,2018/12/4 16:27
2018/12/04 18:51:38 AP1Q530.00_22,0,2018/12/4 18:51
2018/12/04 19:17:03 AS00972.00_02,0.070225,2018/12/4 19:17
2018/12/04 19:35:55 AP1Q530.00_08,0.257491,2018/12/4 19:35
2018/12/04 20:46:17 AP1Q511.00_12,0.210674,2018/12/4 20:46
2018/12/04 22:26:17 AS00972.00_01,0.046816,2018/12/4 22:26
2018/12/04 22:27:47 AP1Q530.00_21,0.070225,2018/12/4 22:27
2018/12/04 22:44:09 AP1Q530.00_07,0.140449,2018/12/4 22:44
2018/12/05 01:47:45 AP1Q530.00_06,0.163858,2018/12/5 01:47
2018/12/05 02:03:06 AP1Q511.00_11,0.046816,2018/12/5 02:03
2018/12/05 02:14:39 AP1Q518.00_25,0.210674,2018/12/5 02:14
2018/12/05 02:18:41 AP1Q530.00_20,0.234082,2018/12/5 02:18
2018/12/05 04:34:02 AP1Q511.00_25,0.023408,2018/12/5 04:34
2018/12/05 04:54:13 AP1Q530.00_05,0.070225,2018/12/5 04:54
2018/12/05 05:42:55 AP1Q518.00_24,0.070225,2018/12/5 05:42
2018/12/05 07:08:21 AP1Q530.00_19,0.187266,2018/12/5 07:08
2018/12/05 08:04:56 AP1Q530.00_04,0.187266,2018/12/5 08:04
2018/12/05 08:14:00 AP1Q511.00_10,0.023408,2018/12/5 08:14
2018/12/05 08:20:43 AP1Q511.00_24,0.093633,2018/12/5 08:20
2018/12/05 09:08:29 AP1Q518.00_23,0.046816,2018/12/5 09:08
2018/12/05 11:03:12 AP1Q530.00_18,0.140449,2018/12/5 11:03
2018/12/05 12:16:24 AP1Q518.00_22,0.093633,2018/12/5 12:16
2018/12/05 12:17:55 AP1Q530.00_03,0.187266,2018/12/5 12:17
2018/12/05 15:18:27 AP1Q530.00_17,0.023408,2018/12/5 15:18
2018/12/05 15:29:21 AP1Q530.00_02,0.234082,2018/12/5 15:29
2018/12/05 15:29:39 AP1Q518.00_21,0.093633,2018/12/5 15:29
2018/12/05 15:39:25 AP1Q511.00_23,0,2018/12/5 15:39
2018/12/05 15:43:33 AP1Q518.00_13,0.070225,2018/12/5 15:43
2018/12/05 18:16:57 AP1Q511.00_09,0.210674,2018/12/5 18:16
2018/12/05 18:37:38 AP1Q530.00_01,0.117041,2018/12/5 18:37
2018/12/05 19:10:09 AP1Q511.00_22,0.046816,2018/12/5 19:10
2018/12/05 19:11:37 AP1Q530.00_16,0.163858,2018/12/5 19:11
2018/12/05 20:26:49 AP1Q518.00_20,0.093633,2018/12/5 20:26
2018/12/05 22:07:39 AP1Q517.00_13,0.046816,2018/12/5 22:07
2018/12/05 22:12:48 AP1Q511.00_08,0.163858,2018/12/5 22:12
2018/12/05 23:09:36 AP1Q530.00_15,0.046816,2018/12/5 23:09
2018/12/05 23:30:09 AP1Q518.00_12,0.070225,2018/12/5 23:30
2018/12/05 23:37:25 AP1Q511.00_21,0.070225,2018/12/5 23:37
2018/12/05 23:51:28 AP1Q518.00_19,0.117041,2018/12/5 23:51
