TIME_ID,Y,TIME
2017/4/18 17:44 PCBM85.19_06,0,2017/4/18 17:44
2017/5/25 03:38 PCKC12.00_23,0,2017/5/25 03:38
2017/5/25 23:24 PCKC12.00_16,0,2017/5/25 23:24
2017/5/26 02:37 PCKC12.00_14,0,2017/5/26 02:37
2018/5/8 23:15 PFXT56.07_25,0.22779,2018/5/8 23:15
2018/5/9 02:56 PFXT56.0C_12,0.045558,2018/5/9 02:56
2018/5/9 03:02 PFXT56.07_24,0.364465,2018/5/9 03:02
2018/5/9 06:31 PFXT56.0C_11,0.091116,2018/5/9 06:31
2018/5/9 06:44 PFXT56.07_23,0.045558,2018/5/9 06:44
2018/5/9 09:49 PFXT61.0G_24,0.045558,2018/5/9 09:49
2018/5/9 10:47 PFXT56.07_22,0,2018/5/9 10:47
2018/5/9 13:24 PFXT61.0G_23,0.091116,2018/5/9 13:24
2018/5/9 14:23 PFXT56.07_21,0,2018/5/9 14:23
2018/5/9 16:51 PFXT61.0G_22,0,2018/5/9 16:51
2018/5/9 22:49 PFXT56.07_20,0,2018/5/9 22:49
2018/5/10 10:55 PFXT56.07_19,0,2018/5/10 10:55
2018/5/10 11:40 PFXT61.0G_21,0.091116,2018/5/10 11:40
2018/5/10 15:43 PFXT56.07_18,0,2018/5/10 15:43
2018/5/10 17:17 PFXT61.0G_16,0,2018/5/10 17:17
2018/5/10 20:52 PFXT61.0G_15,0,2018/5/10 20:52
2018/5/11 00:16 PFXT61.0G_14,0,2018/5/11 00:16
2018/5/11 01:33 PFXT56.07_17,0.045558,2018/5/11 01:33
2018/5/11 01:51 PFXT61.0G_20,0,2018/5/11 01:51
2018/5/11 04:28 PG3P01.09_24,0.045558,2018/5/11 04:28
2018/5/11 12:54 PFXT61.0G_19,0,2018/5/11 12:54
2018/5/11 16:25 PFXT61.0G_18,0,2018/5/11 16:25
2018/5/11 21:00 PFXT61.0G_17,0,2018/5/11 21:00
2018/5/12 01:11 PFXT61.0G_13,0,2018/5/12 01:11
2018/5/12 03:11 PG3N84.00_06,0.091116,2018/5/12 03:11
2018/5/12 05:12 PG3N84.00_25,0,2018/5/12 05:12
2018/5/12 05:55 PFXT56.07_16,0.045558,2018/5/12 05:55
2018/5/12 08:38 PG3N84.00_10,0.045558,2018/5/12 08:38
2018/5/12 10:24 PG3N84.00_05,0,2018/5/12 10:24
2018/5/12 11:58 PG3N84.00_09,0,2018/5/12 11:58
2018/5/12 15:18 PG3N84.00_08,0,2018/5/12 15:18
2018/5/12 17:46 PG3N84.00_04,0.182232,2018/5/12 17:46
2018/5/12 18:42 PG3N84.00_07,0,2018/5/12 18:42
2018/5/12 22:17 PG3N84.00_03,0,2018/5/12 22:17
