TIME_ID,Y,TIME
2018/01/24 00:30:18 AP1A552.00_03,0,2018/1/24 00:30
2018/01/24 00:50:14 AP1A550.00_09,0,2018/1/24 00:50
2018/01/24 01:50:24 AP1A552.00_18,0,2018/1/24 01:50
2018/01/24 04:47:27 AP1A552.00_07,0,2018/1/24 04:47
2018/01/24 05:06:15 AP1A550.00_17,0,2018/1/24 05:06
2018/01/24 07:02:05 AP1A550.00_08,0,2018/1/24 07:02
2018/01/24 08:08:17 AP1A552.00_17,0.037313,2018/1/24 08:08
2018/01/24 08:20:24 AP1A552.00_02,0,2018/1/24 08:20
2018/01/24 11:01:51 AP1A552.00_06,0,2018/1/24 11:01
2018/01/24 11:43:53 AP1A550.00_16,0,2018/1/24 11:43
2018/01/24 14:25:37 AP1A552.00_01,0,2018/1/24 14:25
2018/01/24 17:13:30 AP1A552.00_05,0,2018/1/24 17:13
2018/01/24 17:58:50 AP1A550.00_15,0,2018/1/24 17:58
2018/01/24 20:58:26 AP1A550.00_07,0,2018/1/24 20:58
2018/01/24 21:06:45 AP1A553.00_23,0,2018/1/24 21:06
2018/01/25 00:18:18 AP1A550.00_14,0,2018/1/25 00:18
2018/01/25 00:51:05 AP1A127.00_18,0,2018/1/25 00:51
2018/01/25 03:44:02 AP1A550.00_06,0,2018/1/25 03:44
2018/01/25 04:42:26 AP1A552.00_15,0.037313,2018/1/25 04:42
2018/01/25 04:50:38 AP1A553.00_22,0,2018/1/25 04:50
2018/01/25 06:10:10 AP1A127.00_16,0,2018/1/25 06:10
2018/01/25 06:39:19 AP1A550.00_13,0,2018/1/25 06:39
2018/01/25 09:57:54 AP1A550.00_05,0,2018/1/25 09:57
2018/01/25 11:30:15 AP1A553.00_21,0,2018/1/25 11:30
2018/01/25 11:44:17 AP1A127.00_14,0,2018/1/25 11:44
2018/01/25 12:38:17 AP1A552.00_14,0,2018/1/25 12:38
2018/01/25 13:43:13 AP1A553.00_11,0,2018/1/25 13:43
2018/01/25 13:53:15 AP1A127.00_12,0,2018/1/25 13:53
2018/01/25 17:43:52 AP1A127.00_11,0,2018/1/25 17:43
2018/01/25 18:22:49 AP1A553.00_20,0,2018/1/25 18:22
2018/01/25 18:42:00 AP1A127.00_10,0,2018/1/25 18:42
2018/01/25 19:02:10 AP1A550.00_04,0,2018/1/25 19:02
2018/01/25 19:10:51 AP1A553.00_06,0,2018/1/25 19:10
2018/01/25 20:00:08 AP1A553.00_10,0,2018/1/25 20:00
2018/01/25 22:19:49 AP1A127.00_08,0,2018/1/25 22:19
2018/01/25 23:46:25 AP1A127.00_06,0.037313,2018/1/25 23:46
2018/01/26 00:25:31 AP1A550.00_03,0,2018/1/26 00:25
2018/01/26 01:40:45 AP1A553.00_05,0,2018/1/26 01:40
2018/01/26 01:51:32 AP1A553.00_19,0,2018/1/26 01:51
2018/01/26 02:17:34 AP1A553.00_09,0,2018/1/26 02:17
2018/01/26 06:54:35 AP1A550.00_02,0,2018/1/26 06:54
2018/01/26 07:48:57 AP1A553.00_18,0,2018/1/26 07:48
2018/01/26 07:52:31 AP1A553.00_04,0,2018/1/26 07:52
2018/01/26 08:34:12 AP1A553.00_08,0,2018/1/26 08:34
2018/01/26 13:20:42 AP1A550.00_01,0,2018/1/26 13:20
2018/01/26 13:44:16 AP1A553.00_17,0,2018/1/26 13:44
2018/01/26 19:43:32 AP1A553.00_16,0,2018/1/26 19:43
2018/01/26 20:11:40 AP1A553.00_03,0,2018/1/26 20:11
2018/01/26 20:36:03 AP1A553.00_07,0,2018/1/26 20:36
2018/01/27 01:37:20 AP1A553.00_15,0,2018/1/27 01:37
2018/01/27 02:46:40 AP1A553.00_02,0,2018/1/27 02:46
2018/01/27 07:34:33 AP1A553.00_14,0,2018/1/27 07:34
2018/01/27 09:09:53 AP1A553.00_01,0,2018/1/27 09:09
2018/01/27 13:36:17 AP1A553.00_13,0,2018/1/27 13:36
2018/01/28 15:45:10 AP1A552.00_16,0,2018/1/28 15:45
2018/01/29 02:55:31 AP15892.00_07,0.037313,2018/1/29 02:55
2018/02/08 00:05:28 AP1A121.00_16,0.149254,2018/2/8 00:05
2018/02/08 04:50:20 AP1A121.00_14,0.11194,2018/2/8 04:50
2018/02/08 10:34:32 AP1A121.00_12,0.037313,2018/2/8 10:34
2018/02/08 13:06:20 AP1A121.00_10,0.037313,2018/2/8 13:06
2018/02/20 09:19:54 AP1C235.00_25,0,2018/2/20 09:19
2018/02/20 15:43:01 AP1C235.00_24,0.11194,2018/2/20 15:43
2018/02/20 17:46:16 AP1C235.00_12,0.037313,2018/2/20 17:46
2018/02/20 22:02:44 AP1C235.00_23,0.634328,2018/2/20 22:02
2018/02/20 23:47:38 AP1C235.00_11,0.074627,2018/2/20 23:47
2018/02/21 04:24:20 AP1C235.00_22,0.186567,2018/2/21 04:24
2018/02/21 06:01:14 AP1C235.00_10,0,2018/2/21 06:01
2018/02/21 10:48:19 AP1C235.00_21,0.223881,2018/2/21 10:48
2018/02/21 11:58:40 AP1C235.00_09,0,2018/2/21 11:58
2018/02/21 17:06:04 AP1C235.00_20,0.074627,2018/2/21 17:06
2018/02/21 18:44:43 AP1C235.00_08,0.037313,2018/2/21 18:44
2018/02/22 00:48:41 AP1C235.00_07,0,2018/2/22 00:48
2018/02/22 06:54:02 AP1C235.00_06,0.074627,2018/2/22 06:54
2018/02/22 10:42:19 AP1C235.00_19,0.671642,2018/2/22 10:42
2018/02/22 12:50:42 AP1C235.00_05,0.037313,2018/2/22 12:50
2018/02/22 16:33:20 AP1C231.00_25,0,2018/2/22 16:33
2018/02/22 16:52:35 AP1C235.00_18,0.11194,2018/2/22 16:52
2018/02/22 17:34:16 AP1C231.00_08,0,2018/2/22 17:34
2018/02/22 19:01:26 AP1C235.00_04,0.11194,2018/2/22 19:01
2018/02/22 19:46:02 AP1C231.00_16,0.037313,2018/2/22 19:46
2018/02/22 19:57:28 AP1C231.00_24,0,2018/2/22 19:57
2018/02/22 23:51:13 AP1C231.00_07,0,2018/2/22 23:51
2018/02/23 02:43:16 AP1C231.00_23,0.11194,2018/2/23 02:43
2018/02/23 03:06:06 AP1C235.00_17,0.11194,2018/2/23 03:06
2018/02/23 03:14:07 AP1C231.00_15,0.074627,2018/2/23 03:14
2018/02/23 03:50:05 AP1C235.00_03,0.037313,2018/2/23 03:50
2018/02/23 06:10:03 AP1C231.00_06,0,2018/2/23 06:10
2018/02/23 07:37:08 AP1C235.00_02,0.11194,2018/2/23 07:37
2018/02/23 08:16:51 AP1C235.00_16,0.074627,2018/2/23 08:16
2018/02/23 08:48:46 AP1C231.00_22,0,2018/2/23 08:48
2018/02/23 09:52:14 AP1C231.00_14,0,2018/2/23 09:52
2018/02/23 12:20:21 AP1C231.00_05,0.074627,2018/2/23 12:20
2018/02/23 13:32:51 AP1C235.00_01,0.11194,2018/2/23 13:32
2018/02/23 15:26:34 AP1C231.00_21,0,2018/2/23 15:26
2018/02/23 15:28:35 AP1C235.00_15,0.037313,2018/2/23 15:28
2018/02/23 16:23:41 AP1C231.00_13,0,2018/2/23 16:23
2018/02/23 18:37:41 AP1C231.00_04,0.074627,2018/2/23 18:37
2018/02/23 21:37:24 AP1C231.00_20,0,2018/2/23 21:37
2018/02/23 21:39:21 AP1C235.00_14,0.074627,2018/2/23 21:39
2018/02/23 23:18:35 AP1C231.00_12,0.074627,2018/2/23 23:18
2018/02/24 00:58:06 AP1C231.00_03,0,2018/2/24 00:58
2018/02/24 03:56:38 AP1C235.00_13,0.037313,2018/2/24 03:56
2018/02/24 04:13:04 AP1C231.00_19,0.037313,2018/2/24 04:13
2018/02/24 06:06:19 AP1C231.00_11,0.037313,2018/2/24 06:06
2018/02/24 07:19:16 AP1C231.00_02,0,2018/2/24 07:19
2018/02/24 10:24:59 AP1C231.00_18,0,2018/2/24 10:24
2018/02/24 11:21:33 AP1C226.00_25,0,2018/2/24 11:21
2018/02/24 12:50:37 AP1C231.00_10,0.037313,2018/2/24 12:50
2018/02/24 13:37:10 AP1C231.00_01,0.074627,2018/2/24 13:37
2018/02/24 16:51:40 AP1C231.00_17,0,2018/2/24 16:51
2018/02/24 17:34:05 AP1C226.00_24,0,2018/2/24 17:34
2018/02/24 19:31:35 AP1C231.00_09,0,2018/2/24 19:31
2018/02/24 21:30:40 AP1C226.00_05,0,2018/2/24 21:30
2018/02/24 23:51:24 AP1C226.00_23,0,2018/2/24 23:51
2018/02/25 01:11:48 AP1C226.00_10,0,2018/2/25 01:11
2018/02/25 04:01:57 AP1C226.00_04,0,2018/2/25 04:01
2018/02/25 06:02:36 AP1C226.00_22,0,2018/2/25 06:02
2018/02/25 07:49:26 AP1C226.00_09,0,2018/2/25 07:49
2018/02/25 10:36:56 AP1C226.00_03,0,2018/2/25 10:36
2018/02/25 14:47:52 AP1C226.00_08,0,2018/2/25 14:47
2018/02/25 16:55:03 AP1C226.00_02,0,2018/2/25 16:55
2018/02/25 17:49:22 AP1C226.00_21,0,2018/2/25 17:49
2018/02/25 22:24:57 AP1C226.00_07,0,2018/2/25 22:24
2018/02/25 23:15:17 AP1C226.00_01,0,2018/2/25 23:15
2018/02/26 00:14:49 AP1C226.00_20,0.186567,2018/2/26 00:14
