TIME_ID,Y,TIME
2017/12/15 16:56:17 PFTA76.00_15,0.456621,2017/12/15 16:56
2017/12/15 21:08:02 PFTA76.00_14,0.418569,2017/12/15 21:08
2017/12/16 01:39:16 PFTA76.00_13,0.266362,2017/12/16 01:39
2017/12/16 06:48:00 PFTA76.00_12,0.418569,2017/12/16 06:48
2017/12/16 11:44:23 PFTA76.00_11,0.228311,2017/12/16 11:44
2017/12/16 15:54:27 PFTA76.00_10,0.228311,2017/12/16 15:54
2018/01/01 16:49:05 PFVA85.08_15,0,2018/1/1 16:49
2018/01/06 06:44:16 PFTA26.00_11__r1,2.016743,2018/1/6 06:44
2018/01/06 10:33:27 PFTA26.00_01__r1,0.380518,2018/1/6 10:33
2018/01/06 14:14:56 PFTA26.00_02__r1,0.038052,2018/1/6 14:14
2018/01/06 16:05:40 PFTA30.0D_14,1.141553,2018/1/6 16:05
2018/01/06 18:55:02 PFTA30.0D_05,0.837139,2018/1/6 18:55
2018/01/07 02:56:47 PFTA71.00_25,1.065449,2018/1/7 02:56
2018/01/07 05:44:21 PFTA71.00_01,0.152207,2018/1/7 05:44
2018/01/07 09:51:23 PFVA81.00_08,0.114155,2018/1/7 09:51
2018/01/07 09:54:50 PFTA15.0C_24,0.076104,2018/1/7 09:54
2018/01/07 12:48:50 PFVA81.00_03,0.076104,2018/1/7 12:48
2018/01/07 14:37:16 PFVA81.08_24,0.570776,2018/1/7 14:37
2018/01/07 15:45:08 PFVA81.00_01,0,2018/1/7 15:45
2018/01/07 16:33:27 PFVA81.08_23,1.674277,2018/1/7 16:33
2018/01/07 18:14:18 PFVA81.08_13,1.141553,2018/1/7 18:14
2018/01/07 20:54:26 PFVA81.00_02,0.038052,2018/1/7 20:54
2018/01/08 03:27:06 PFVA81.00_25,0.038052,2018/1/8 03:27
2018/01/08 21:07:21 PFTA55.0D_22,0.076104,2018/1/8 21:07
2018/01/09 00:03:12 PFTA55.0D_21,0.114155,2018/1/9 00:03
2018/01/09 03:51:38 PFTA55.0D_20,0.038052,2018/1/9 03:51
2018/01/09 03:58:42 PFVA81.00_12,0.076104,2018/1/9 03:58
2018/01/09 06:50:06 PFVA92.00_12__r1,0.076104,2018/1/9 06:50
2018/01/09 07:36:58 PFVA81.00_11,0.076104,2018/1/9 07:36
2018/01/09 10:16:03 PFVA92.00_03__r1,0.418569,2018/1/9 10:16
2018/01/09 10:31:24 PFTA55.0D_19,0.038052,2018/1/9 10:31
2018/01/09 10:58:32 PFVA81.00_10,0.038052,2018/1/9 10:58
2018/01/09 13:51:43 PFVA81.00_09,0.076104,2018/1/9 13:51
2018/01/09 15:34:21 PFVA92.00_02__r1,2.245053,2018/1/9 15:34
2018/01/09 15:49:08 PFTA15.0C_19,1.103501,2018/1/9 15:49
2018/01/09 17:36:04 PFVA81.00_07,0.038052,2018/1/9 17:36
2018/01/09 18:14:40 PFVA70.00_12,0.114155,2018/1/9 18:14
2018/01/09 18:17:13 PFTA55.0D_18,0.076104,2018/1/9 18:17
2018/01/09 20:17:21 PFTA55.0D_17,0,2018/1/9 20:17
2018/01/09 20:22:37 PFVA81.00_06,0.038052,2018/1/9 20:22
2018/01/09 21:06:05 PFVA70.00_11,0.152207,2018/1/9 21:06
