No,Start_time,Cut_Point,End_time,Before_Mean,After_Mean,Mean_Diff,Before_Median,After_Median,Before_Sigma,After_Sigma,Before_Size,After_Size,Before,After,T_PValue,Difference
1,2018/12/12 17:42:44 AP1Q508.00_01,2018/12/14 14:23:41 AP1Q514.00_02,2018/12/19 22:58:53 AP1Q880.00_04,0.046504227,0.562457089,0.515952863,0.023408,0.421348,0.0515576,0.565557366,75,213,10.0073096,0.912290942,1.29E-29,86.6658434
2,2018/11/22 04:00:13 AP1M635.00_15,2018/12/02 05:39:05 AP1N948.00_07,2018/12/12 17:42:44 AP1Q508.00_01,0.031510981,0.119071986,0.087561006,0.023408,0.093633,0.037626198,0.097361945,52,219,2.327128709,0.899335005,7.26E-21,16.78116377
3,2018/12/02 05:39:05 AP1N948.00_07,2018/12/12 17:42:44 AP1Q508.00_01,2018/12/14 14:23:41 AP1Q514.00_02,0.119071986,0.046504227,-0.07256776,0.093633,0.023408,0.097361945,0.0515576,219,75,-0.745340076,-1.407508497,1.62E-14,-12.18938114
