No,Start_time,Cut_Point,End_time,Before_Mean,After_Mean,Mean_Diff,Before_Median,After_Median,Before_Sigma,After_Sigma,Before_Size,After_Size,Before,After,T_PValue,Difference
1,2018/7/30 07:53 PK8K55.00_01,2018/8/15 00:33 PFXT65.0F_20,2018/11/13 01:33 PG3P06.00_05,1.679882354,0.004271063,-1.675611292,0.592255,0,2.342934494,0.017632864,79,64,-0.71517633,-95.02774433,1.28E-08,-760.2219546
2,2017/4/18 17:44 PCBM85.19_06,2018/6/11 19:22 PG3P07.0E_13,2018/6/28 07:56 PG3N93.0J_13,0.034819352,1.602933823,1.56811447,0,0.683371,0.080606414,3.387488974,420,141,19.4539665,0.462913527,1.78E-07,398.6876739
3,2018/6/11 19:22 PG3P07.0E_13,2018/6/28 07:56 PG3N93.0J_13,2018/7/3 09:34 PK4M79.0C_18,1.602933823,0.085355851,-1.517577972,0.683371,0.045558,3.387488974,0.091329045,141,87,-0.447994955,-16.61659749,4.07E-07,-154.9893034
4,2018/6/28 07:56 PG3N93.0J_13,2018/7/3 09:34 PK4M79.0C_18,2018/7/12 02:15 PK4M90.0C_14,0.085355851,1.55894075,1.473584899,0.045558,1.457859,0.091329045,0.671335454,87,32,16.1348989,2.195005329,1.28E-13,150.496318
5,2018/7/12 02:15 PK4M90.0C_14,2018/7/30 07:53 PK8K55.00_01,2018/8/15 00:33 PFXT65.0F_20,0.3264995,1.679882354,1.353382854,0.182232,0.592255,0.424088029,2.342934494,48,79,3.191278137,0.577644342,2.97E-06,22.1098235
6,2018/7/3 09:34 PK4M79.0C_18,2018/7/12 02:15 PK4M90.0C_14,2018/7/30 07:53 PK8K55.00_01,1.55894075,0.3264995,-1.23244125,1.457859,0.182232,0.671335454,0.424088029,32,48,-1.835805398,-2.906097711,3.63E-12,-20.13403555
