No,Start_time,Cut_Point,End_time,Before_Mean,After_Mean,Mean_Diff,Before_Median,After_Median,Before_Sigma,After_Sigma,Before_Size,After_Size,Before,After,T_PValue,Difference
1,2017/10/4 02:19 E7N792_02,2017/11/14 07:47 E83526_25,2017/12/8 03:06 E84083_21,0,8.511764706,8.511764706,0,5.2,0,13.99914651,27,17,85117647059,0.60802026,0.023346248,4.42284E+11
2,2017/11/14 07:47 E83526_25,2017/12/8 03:06 E84083_21,2018/2/6 09:13 E88490_10,8.511764706,1.130612245,-7.381152461,5.2,0,13.99914651,2.406346131,17,49,-0.527257319,-3.067369389,0.045711474,-21.47158572
