No,Start_time,Cut_Point,End_time,Before_Mean,After_Mean,Mean_Diff,Before_Median,After_Median,Before_Sigma,After_Sigma,Before_Size,After_Size,Before,After,T_PValue,Difference
1,2018/04/01 02:21:52 AP1C251.00_23,2018/04/10 18:33:15 AP1C232.00_09,2018/04/28 08:21:48 AP1C240.00_21,0.003553667,1.575563719,1.572010052,0,0.186567,0.016085124,1.996579156,42,231,97.73067885,0.78735173,5.68E-26,633.3671879
2,2018/04/28 08:21:48 AP1C240.00_21,2018/05/05 10:38:19 AP1C241.00_01,2018/11/11 16:00:48 AP1C935.00_16,0.18873636,0.025618019,-0.163118342,0.037313,0.037313,0.38251411,0.033113546,86,536,-0.42643745,-4.926030689,0.00015924,-114.0458557
3,2018/04/10 18:33:15 AP1C232.00_09,2018/04/28 08:21:48 AP1C240.00_21,2018/05/05 10:38:19 AP1C241.00_01,1.575563719,0.18873636,-1.386827358,0.186567,0.037313,1.996579156,0.38251411,231,86,-0.694601741,-3.625558693,1.80E-20,-33.62204815
4,2018/01/24 00:30:18 AP1A552.00_03,2018/04/01 02:21:52 AP1C251.00_23,2018/04/10 18:33:15 AP1C232.00_09,0.041523069,0.003553667,-0.037969403,0.037313,0,0.064352243,0.016085124,390,42,-0.590024541,-2.360529109,1.35E-17,-15.29797707
