No,Start_time,Cut_Point,End_time,Before_Mean,After_Mean,Mean_Diff,Before_Median,After_Median,Before_Sigma,After_Sigma,Before_Size,After_Size,Before,After,T_PValue,Difference
1,2016/7/18 22:20 PAWA98.00_02,2016/8/13 07:38 PASA61.00_01,2016/9/30 11:02 PB6H17.00_06,0.185151515,0,-0.185151515,0,0,0.300994467,0,66,92,-0.615132621,-1851515152,4.65E-06,-17759109459
2,2016/4/27 18:09 PA4G79.00_25,2016/5/15 13:26 PA3U27.00_23,2016/7/18 22:20 PAWA98.00_02,0.490289855,0.078472222,-0.411817633,0.12,0.06,0.668237302,0.095263308,69,72,-0.616274536,-4.322940726,3.07E-06,-36.68136842
3,2016/5/15 13:26 PA3U27.00_23,2016/7/18 22:20 PAWA98.00_02,2016/8/13 07:38 PASA61.00_01,0.078472222,0.185151515,0.106679293,0.06,0,0.095263308,0.300994467,72,66,1.11983612,0.354422771,0.007311235,9.502124568
